feature,distance,capture,subscenario,fstrat,seed,p_frac,trigger_type
js_avg,0.005380401896954384,1_42,1,entropy,0,0.001,full
js_avg,0.006474073054250023,9_50,1,entropy,0,0.001,full
js_avg,0.0156007242179382,1_42,1,entropy,0,0.005,full
js_avg,0.018982623467911266,9_50,1,entropy,0,0.005,full
js_avg,0.009967131029496713,1_42,1,entropy,2,0.001,full
js_avg,0.010614750176157749,9_50,1,entropy,2,0.001,full
js_avg,0.020954570381068682,1_42,1,entropy,2,0.005,full
js_avg,0.023902273207044356,9_50,1,entropy,2,0.005,full
js_avg,0.0302128467310483,1_42,1,entropy,2,0.01,full
js_avg,0.03530149786751387,9_50,1,entropy,2,0.01,full
js_avg,0.19080870063876748,1_42,1,entropy,2,0.02,full
js_avg,0.05311536886767759,9_50,1,entropy,2,0.02,full
js_avg,0.21162613247285642,1_42,1,entropy,2,0.05,full
js_avg,0.0925258730631659,9_50,1,entropy,2,0.05,full
js_avg,0.007702682920575176,1_42,1,entropy,3,0.001,full
js_avg,0.009707132470333666,9_50,1,entropy,3,0.001,full
js_avg,0.023139406929072504,1_42,1,entropy,3,0.005,full
js_avg,0.14964435027612188,9_50,1,entropy,3,0.005,full
js_avg,0.03679065609773312,1_42,1,entropy,3,0.01,full
js_avg,0.04684685654272864,9_50,1,entropy,3,0.01,full
js_avg,0.17159607311567493,1_42,1,entropy,3,0.02,full
js_avg,0.179229768962843,9_50,1,entropy,3,0.02,full
js_avg,0.2020608935977913,1_42,1,entropy,3,0.05,full
js_avg,0.21492233076395562,9_50,1,entropy,3,0.05,full
js_avg,0.18434604902952817,1_42,1,entropy,0,0.01,full
js_avg,0.1474551432577377,9_50,1,entropy,0,0.01,full
js_avg,0.0068440391682287795,1_42,1,entropy,4,0.001,full
js_avg,0.008089817395450455,9_50,1,entropy,4,0.001,full
js_avg,0.019370098785131535,1_42,1,entropy,4,0.005,full
js_avg,0.18577838972454674,9_50,1,entropy,4,0.005,full
js_avg,0.029978949341041956,1_42,1,entropy,4,0.01,full
js_avg,0.19564630044520787,9_50,1,entropy,4,0.01,full
js_avg,0.230687009687901,1_42,1,entropy,4,0.02,full
js_avg,0.20990570064531783,9_50,1,entropy,4,0.02,full
js_avg,0.25483082434190474,1_42,1,entropy,4,0.05,full
js_avg,0.23822819811383283,9_50,1,entropy,4,0.05,full
js_avg,0.0378865585105156,1_42,1,entropy,0,0.02,full
js_avg,0.1599894007442082,9_50,1,entropy,0,0.02,full
js_avg,0.2141592831343994,1_42,1,entropy,0,0.05,full
js_avg,0.1860291670378869,9_50,1,entropy,0,0.05,full
js_avg,0.007565413429826455,1_42,1,entropy,1,0.001,full
js_avg,0.009239158691722097,9_50,1,entropy,1,0.001,full
js_avg,0.022394838987831296,1_42,1,entropy,1,0.005,full
js_avg,0.027762268087558967,9_50,1,entropy,1,0.005,full
js_avg,0.035437834935908484,1_42,1,entropy,1,0.01,full
js_avg,0.04405104715543594,9_50,1,entropy,1,0.01,full
js_avg,0.16749115628608763,1_42,1,entropy,1,0.02,full
js_avg,0.2047082522222746,9_50,1,entropy,1,0.02,full
js_avg,0.19910114181744426,1_42,1,entropy,1,0.05,full
js_avg,0.23750723666910606,9_50,1,entropy,1,0.05,full
js_avg,0.07808306487282754,1_42,1,entropy,0,0.001,gen
js_avg,0.07583444709625738,9_50,1,entropy,0,0.001,gen
js_avg,0.009542382303717305,1_42,1,entropy,0,0.005,gen
js_avg,0.011312862022292787,9_50,1,entropy,0,0.005,gen
js_avg,0.0028206923084592023,1_42,1,entropy,2,0.001,gen
js_avg,0.0034637487636775106,9_50,1,entropy,2,0.001,gen
js_avg,0.008237162019587265,1_42,1,entropy,2,0.005,gen
js_avg,0.009837173336147923,9_50,1,entropy,2,0.005,gen
js_avg,0.07970691601289576,1_42,1,entropy,2,0.01,gen
js_avg,0.012574259365500703,9_50,1,entropy,2,0.01,gen
js_avg,0.01858653614646802,1_42,1,entropy,2,0.02,gen
js_avg,0.022527839619472887,9_50,1,entropy,2,0.02,gen
js_avg,0.15315606712841762,1_42,1,entropy,2,0.05,gen
js_avg,0.03956781781608829,9_50,1,entropy,2,0.05,gen
js_avg,0.005680438327718283,1_42,1,entropy,3,0.001,gen
js_avg,0.006803480439894043,9_50,1,entropy,3,0.001,gen
js_avg,0.14667490063574545,1_42,1,entropy,3,0.005,gen
js_avg,0.018689214762724803,9_50,1,entropy,3,0.005,gen
js_avg,0.02400547522451694,1_42,1,entropy,3,0.01,gen
js_avg,0.03053757850089205,9_50,1,entropy,3,0.01,gen
js_avg,0.037044665847716006,1_42,1,entropy,3,0.02,gen
js_avg,0.045544453032303825,9_50,1,entropy,3,0.02,gen
js_avg,0.1841812845137634,1_42,1,entropy,3,0.05,gen
js_avg,0.07674189260674083,9_50,1,entropy,3,0.05,gen
js_avg,0.1409949775518846,1_42,1,entropy,0,0.01,gen
js_avg,0.01599795675320901,9_50,1,entropy,0,0.01,gen
js_avg,0.025605760283743156,1_42,1,entropy,4,0.001,gen
js_avg,0.00471130642394524,9_50,1,entropy,4,0.001,gen
js_avg,0.010313150367619652,1_42,1,entropy,4,0.005,gen
js_avg,0.012448456502918917,9_50,1,entropy,4,0.005,gen
js_avg,0.01691179907707661,1_42,1,entropy,4,0.01,gen
js_avg,0.020419136286390152,9_50,1,entropy,4,0.01,gen
js_avg,0.09759198103710334,1_42,1,entropy,4,0.02,gen
js_avg,0.10067909976421585,9_50,1,entropy,4,0.02,gen
js_avg,0.06348712928832462,1_42,1,entropy,4,0.05,gen
js_avg,0.05446621360800339,9_50,1,entropy,4,0.05,gen
js_avg,0.14083397953583598,1_42,1,entropy,0,0.02,gen
js_avg,0.1488412199539907,9_50,1,entropy,0,0.02,gen
js_avg,0.16018204775271735,1_42,1,entropy,0,0.05,gen
js_avg,0.161663399206665,9_50,1,entropy,0,0.05,gen
js_avg,0.0057861261415186795,1_42,1,entropy,1,0.001,gen
js_avg,0.006907916693512631,9_50,1,entropy,1,0.001,gen
js_avg,0.01632724846521149,1_42,1,entropy,1,0.005,gen
js_avg,0.019685956823101376,9_50,1,entropy,1,0.005,gen
js_avg,0.024828853604992963,1_42,1,entropy,1,0.01,gen
js_avg,0.02997006177651858,9_50,1,entropy,1,0.01,gen
js_avg,0.15154500462146156,1_42,1,entropy,1,0.02,gen
js_avg,0.048949881569463796,9_50,1,entropy,1,0.02,gen
js_avg,0.17060526669091036,1_42,1,entropy,1,0.05,gen
js_avg,0.08513213614803901,9_50,1,entropy,1,0.05,gen
js_avg,0.005146420102060656,1_42,1,entropy,0,0.001,red
js_avg,0.0062670645584303785,9_50,1,entropy,0,0.001,red
js_avg,0.015007296373524753,1_42,1,entropy,0,0.005,red
js_avg,0.018444190936559496,9_50,1,entropy,0,0.005,red
js_avg,0.009645087964801609,1_42,1,entropy,2,0.001,red
js_avg,0.01023779404418884,9_50,1,entropy,2,0.001,red
js_avg,0.020222950942750815,1_42,1,entropy,2,0.005,red
js_avg,0.023019857056055613,9_50,1,entropy,2,0.005,red
js_avg,0.02916056181993869,1_42,1,entropy,2,0.01,red
js_avg,0.0340160294019467,9_50,1,entropy,2,0.01,red
js_avg,0.19229740262083414,1_42,1,entropy,2,0.02,red
js_avg,0.051224283420246916,9_50,1,entropy,2,0.02,red
js_avg,0.21251356582865427,1_42,1,entropy,2,0.05,red
js_avg,0.08941810559501792,9_50,1,entropy,2,0.05,red
js_avg,0.006276800968801613,1_42,1,entropy,3,0.001,red
js_avg,0.007808978419739478,9_50,1,entropy,3,0.001,red
js_avg,0.018903039781232582,1_42,1,entropy,3,0.005,red
js_avg,0.023604559482257974,9_50,1,entropy,3,0.005,red
js_avg,0.029944275924465236,1_42,1,entropy,3,0.01,red
js_avg,0.03743794053126723,9_50,1,entropy,3,0.01,red
js_avg,0.16654854368079933,1_42,1,entropy,3,0.02,red
js_avg,0.0592370729122893,9_50,1,entropy,3,0.02,red
js_avg,0.19521560921035275,1_42,1,entropy,3,0.05,red
js_avg,0.10701800153749241,9_50,1,entropy,3,0.05,red
js_avg,0.14776889894043557,1_42,1,entropy,0,0.01,red
js_avg,0.14671939225693936,9_50,1,entropy,0,0.01,red
js_avg,0.006780710987251047,1_42,1,entropy,4,0.001,red
js_avg,0.008014179549164833,9_50,1,entropy,4,0.001,red
js_avg,0.01922222089464701,1_42,1,entropy,4,0.005,red
js_avg,0.18562455593169586,9_50,1,entropy,4,0.005,red
js_avg,0.029759785650506167,1_42,1,entropy,4,0.01,red
js_avg,0.1954272547560668,9_50,1,entropy,4,0.01,red
js_avg,0.2304311269964193,1_42,1,entropy,4,0.02,red
js_avg,0.20958906330289628,9_50,1,entropy,4,0.02,red
js_avg,0.2544104107820987,1_42,1,entropy,4,0.05,red
js_avg,0.23770907553842685,9_50,1,entropy,4,0.05,red
js_avg,0.03680685865153509,1_42,1,entropy,0,0.02,red
js_avg,0.15900873973360602,9_50,1,entropy,0,0.02,red
js_avg,0.17765221183263563,1_42,1,entropy,0,0.05,red
js_avg,0.18471590538411745,9_50,1,entropy,0,0.05,red
js_avg,0.0062949051250704826,1_42,1,entropy,1,0.001,red
js_avg,0.0076085169831969545,9_50,1,entropy,1,0.001,red
js_avg,0.01901652472732839,1_42,1,entropy,1,0.005,red
js_avg,0.023186433910845676,9_50,1,entropy,1,0.005,red
js_avg,0.03017544766038372,1_42,1,entropy,1,0.01,red
