feature,distance,capture,subscenario,fstrat,seed,p_frac,trigger_type
js_avg,0.0055009851584041,1_42,1,shap,0,0.001,full
js_avg,0.006459333666330722,9_50,1,shap,0,0.001,full
js_avg,0.01575699775740734,1_42,1,shap,0,0.005,full
js_avg,0.018484652764273517,9_50,1,shap,0,0.005,full
js_avg,0.005328077653040524,1_42,1,shap,2,0.001,full
js_avg,0.13161443871489026,9_50,1,shap,2,0.001,full
js_avg,0.01486108067600497,1_42,1,shap,2,0.005,full
js_avg,0.14195159120240228,9_50,1,shap,2,0.005,full
js_avg,0.02277487044847022,1_42,1,shap,2,0.01,full
js_avg,0.15013356601752872,9_50,1,shap,2,0.01,full
js_avg,0.2090429687900585,1_42,1,shap,2,0.02,full
js_avg,0.16209399814739234,9_50,1,shap,2,0.02,full
js_avg,0.22853571293186187,1_42,1,shap,2,0.05,full
js_avg,0.18661990216955188,9_50,1,shap,2,0.05,full
js_avg,0.00705762097439522,1_42,1,shap,3,0.001,full
js_avg,0.008222194556529264,9_50,1,shap,3,0.001,full
js_avg,0.01987489921886666,1_42,1,shap,3,0.005,full
js_avg,0.14597520669015973,9_50,1,shap,3,0.005,full
js_avg,0.030728101163185993,1_42,1,shap,3,0.01,full
js_avg,0.03695467587676325,9_50,1,shap,3,0.01,full
js_avg,0.19775578122127277,1_42,1,shap,3,0.02,full
js_avg,0.17080335852979325,9_50,1,shap,3,0.02,full
js_avg,0.22136417596550967,1_42,1,shap,3,0.05,full
js_avg,0.2002913458117747,9_50,1,shap,3,0.05,full
js_avg,0.18431796582341314,1_42,1,shap,0,0.01,full
js_avg,0.14769898563961822,9_50,1,shap,0,0.01,full
js_avg,0.007360448398334487,1_42,1,shap,4,0.001,full
js_avg,0.008747539930676212,9_50,1,shap,4,0.001,full
js_avg,0.02096620835017159,1_42,1,shap,4,0.005,full
js_avg,0.18653188432839854,9_50,1,shap,4,0.005,full
js_avg,0.03258237604965479,1_42,1,shap,4,0.01,full
js_avg,0.196854200128567,9_50,1,shap,4,0.01,full
js_avg,0.20586763075814263,1_42,1,shap,4,0.02,full
js_avg,0.21154131914217103,9_50,1,shap,4,0.02,full
js_avg,0.23198065835454731,1_42,1,shap,4,0.05,full
js_avg,0.24013695776345806,9_50,1,shap,4,0.05,full
js_avg,0.037442975641275016,1_42,1,shap,0,0.02,full
js_avg,0.16005689099052242,9_50,1,shap,0,0.02,full
js_avg,0.21408114396671837,1_42,1,shap,0,0.05,full
js_avg,0.1849866556029189,9_50,1,shap,0,0.05,full
js_avg,0.006525833662841251,1_42,1,shap,1,0.001,full
js_avg,0.007797542666287112,9_50,1,shap,1,0.001,full
js_avg,0.017870803454815176,1_42,1,shap,1,0.005,full
js_avg,0.02176357452256378,9_50,1,shap,1,0.005,full
js_avg,0.027389251963551808,1_42,1,shap,1,0.01,full
js_avg,0.03349531279478231,9_50,1,shap,1,0.01,full
js_avg,0.19711030604816812,1_42,1,shap,1,0.02,full
js_avg,0.20350362306176728,9_50,1,shap,1,0.02,full
js_avg,0.21834109681972338,1_42,1,shap,1,0.05,full
js_avg,0.22737430294002697,9_50,1,shap,1,0.05,full
js_avg,0.0035441134591305255,1_42,1,shap,0,0.001,gen
js_avg,0.004229581106993934,9_50,1,shap,0,0.001,gen
js_avg,0.0082495288262039,1_42,1,shap,0,0.005,gen
js_avg,0.08167074338560346,9_50,1,shap,0,0.005,gen
js_avg,0.003983587443509489,1_42,1,shap,2,0.001,gen
js_avg,0.004597751677795724,9_50,1,shap,2,0.001,gen
js_avg,0.009954022391290158,1_42,1,shap,2,0.005,gen
js_avg,0.07140974622625298,9_50,1,shap,2,0.005,gen
js_avg,0.08446005916673732,1_42,1,shap,2,0.01,gen
js_avg,0.07630570518697491,9_50,1,shap,2,0.01,gen
js_avg,0.1380254457066315,1_42,1,shap,2,0.02,gen
js_avg,0.14379102914544664,9_50,1,shap,2,0.02,gen
js_avg,0.09983317196645933,1_42,1,shap,2,0.05,gen
js_avg,0.11106928619913366,9_50,1,shap,2,0.05,gen
js_avg,0.006918597750755892,1_42,1,shap,3,0.001,gen
js_avg,0.07718463338238571,9_50,1,shap,3,0.001,gen
js_avg,0.015639500897241525,1_42,1,shap,3,0.005,gen
js_avg,0.018764414269199663,9_50,1,shap,3,0.005,gen
js_avg,0.09945455864143393,1_42,1,shap,3,0.01,gen
js_avg,0.09884677622421786,9_50,1,shap,3,0.01,gen
js_avg,0.1670808134790152,1_42,1,shap,3,0.02,gen
js_avg,0.17008917852204808,9_50,1,shap,3,0.02,gen
js_avg,0.17952386553504274,1_42,1,shap,3,0.05,gen
js_avg,0.1915097338486516,9_50,1,shap,3,0.05,gen
js_avg,0.08768643469643485,1_42,1,shap,0,0.01,gen
js_avg,0.08717591647239574,9_50,1,shap,0,0.01,gen
js_avg,0.002178343482012478,1_42,1,shap,4,0.001,gen
js_avg,0.0025278434358917074,9_50,1,shap,4,0.001,gen
js_avg,0.03167510635404648,1_42,1,shap,4,0.005,gen
js_avg,0.02618228507827272,9_50,1,shap,4,0.005,gen
js_avg,0.009225158057761642,1_42,1,shap,4,0.01,gen
js_avg,0.010678577363403937,9_50,1,shap,4,0.01,gen
js_avg,0.08798563553067941,1_42,1,shap,4,0.02,gen
js_avg,0.08868131085799788,9_50,1,shap,4,0.02,gen
js_avg,0.04205881385994671,1_42,1,shap,4,0.05,gen
js_avg,0.03359230110734878,9_50,1,shap,4,0.05,gen
js_avg,0.1432369867467743,1_42,1,shap,0,0.02,gen
js_avg,0.14423959140188736,9_50,1,shap,0,0.02,gen
js_avg,0.15194987262207343,1_42,1,shap,0,0.05,gen
js_avg,0.15514776725074045,9_50,1,shap,0,0.05,gen
js_avg,0.005467698088621338,1_42,1,shap,1,0.001,gen
js_avg,0.006112141370469086,9_50,1,shap,1,0.001,gen
js_avg,0.01353534200081504,1_42,1,shap,1,0.005,gen
js_avg,0.06549847504300998,9_50,1,shap,1,0.005,gen
js_avg,0.02143100625342895,1_42,1,shap,1,0.01,gen
js_avg,0.07410103288560785,9_50,1,shap,1,0.01,gen
js_avg,0.10392101556955406,1_42,1,shap,1,0.02,gen
js_avg,0.08734116161650815,9_50,1,shap,1,0.02,gen
js_avg,0.12686808468737287,1_42,1,shap,1,0.05,gen
js_avg,0.11622602031591653,9_50,1,shap,1,0.05,gen
js_avg,0.00411657003403748,1_42,1,shap,0,0.001,red
js_avg,0.004778315682451184,9_50,1,shap,0,0.001,red
js_avg,0.011440124686894947,1_42,1,shap,0,0.005,red
js_avg,0.013273179577991923,9_50,1,shap,0,0.005,red
js_avg,0.004730434943857296,1_42,1,shap,2,0.001,red
js_avg,0.1318097857766726,9_50,1,shap,2,0.001,red
js_avg,0.01245686230620931,1_42,1,shap,2,0.005,red
js_avg,0.14042335319530766,9_50,1,shap,2,0.005,red
js_avg,0.018662446193420185,1_42,1,shap,2,0.01,red
js_avg,0.1471148492268076,9_50,1,shap,2,0.01,red
js_avg,0.19213158995094884,1_42,1,shap,2,0.02,red
js_avg,0.15675088578954888,9_50,1,shap,2,0.02,red
js_avg,0.20780287460105007,1_42,1,shap,2,0.05,red
js_avg,0.17604585448002014,9_50,1,shap,2,0.05,red
js_avg,0.006542073639522135,1_42,1,shap,3,0.001,red
js_avg,0.007585925350144043,9_50,1,shap,3,0.001,red
js_avg,0.01804081264908256,1_42,1,shap,3,0.005,red
js_avg,0.14493354280768872,9_50,1,shap,3,0.005,red
js_avg,0.027758634631781676,1_42,1,shap,3,0.01,red
js_avg,0.03321374667461685,9_50,1,shap,3,0.01,red
js_avg,0.19727990977010817,1_42,1,shap,3,0.02,red
js_avg,0.16719508854923562,9_50,1,shap,3,0.02,red
js_avg,0.21875326175826532,1_42,1,shap,3,0.05,red
js_avg,0.1937508157306415,9_50,1,shap,3,0.05,red
js_avg,0.1416242449406915,1_42,1,shap,0,0.01,red
js_avg,0.020373295608767366,9_50,1,shap,0,0.01,red
js_avg,0.004930333643499589,1_42,1,shap,4,0.001,red
js_avg,0.005887367373412717,9_50,1,shap,4,0.001,red
js_avg,0.014435361765245208,1_42,1,shap,4,0.005,red
js_avg,0.18087392805075558,9_50,1,shap,4,0.005,red
js_avg,0.022734487172082284,1_42,1,shap,4,0.01,red
js_avg,0.18841426496353939,9_50,1,shap,4,0.01,red
js_avg,0.19620122458244077,1_42,1,shap,4,0.02,red
js_avg,0.19944095729016958,9_50,1,shap,4,0.02,red
js_avg,0.2168091870831649,1_42,1,shap,4,0.05,red
js_avg,0.22172618546788528,9_50,1,shap,4,0.05,red
js_avg,0.026850487611800894,1_42,1,shap,0,0.02,red
js_avg,0.031161018213153674,9_50,1,shap,0,0.02,red
js_avg,0.16653073039686575,1_42,1,shap,0,0.05,red
js_avg,0.054344608457799294,9_50,1,shap,0,0.05,red
js_avg,0.006014199356191898,1_42,1,shap,1,0.001,red
js_avg,0.007147138683540663,9_50,1,shap,1,0.001,red
js_avg,0.01598438319692949,1_42,1,shap,1,0.005,red
js_avg,0.01936339384910539,9_50,1,shap,1,0.005,red
js_avg,0.024262848328883355,1_42,1,shap,1,0.01,red
js_avg,0.02949304802190126,9_50,1,shap,1,0.01,red
js_avg,0.1933996546520526,1_42,1,shap,1,0.02,red
js_avg,0.19886400831224638,9_50,1,shap,1,0.02,red
js_avg,0.21195301080087706,1_42,1,shap,1,0.05,red
js_avg,0.21936388789366984,9_50,1,shap,1,0.05,red
